"Date","max_temp","sun_hours","wspd","beach_chairs"
2020-04-01,7.7,43,38.2,195
2020-04-02,9.2,265,52.6,44
2020-04-03,7.5,505,41,146
2020-04-04,11.2,280,27,84
2020-04-05,13.8,741,31,36
2020-04-06,20.6,769,25.2,110
2020-04-07,15.4,709,19.8,147
2020-04-08,17.4,658,24.1,78
2020-04-09,11,587,28.1,28
2020-04-10,12,712,20.5,35
2020-04-11,12.9,641,17.6,20
2020-04-12,17.2,712,32,157
2020-04-13,8.4,676,49,152
2020-04-14,8.8,544,34.2,198
2020-04-15,11.5,635,47.2,116
2020-04-16,12.5,572,30.6,119
2020-04-17,12.2,816,19.1,19
2020-04-18,10.3,830,25.6,20
2020-04-19,9.3,835,27,104
2020-04-20,11.4,833,24.8,29
2020-04-21,12,840,41.5,85
2020-04-22,11,840,34.3,73
2020-04-23,15.2,815,20.5,95
2020-04-24,14.6,775,33.1,84
2020-04-25,14.2,776,23.4,94
2020-04-26,9.2,95,19.8,135
2020-04-27,15,597,18,140
2020-04-28,11.4,444,19.1,98
2020-04-29,10.5,0,25.2,38
2020-04-30,12.3,230,22,80
2020-05-01,12.4,179,24.1,80
2020-05-02,11.4,133,27.4,12
2020-05-03,13.6,593,24.8,30
2020-05-04,14.6,753,29.2,89
2020-05-05,11.9,846,25.6,177
2020-05-06,12.1,896,31.3,134
2020-05-07,12.8,659,33.1,68
2020-05-08,16.4,860,23.4,133
2020-05-09,16.7,541,19.1,160
2020-05-10,18.6,543,27,54
2020-05-11,9.7,660,43.6,186
2020-05-12,9.9,438,36,147
2020-05-13,8.8,133,18.4,145
2020-05-14,13.5,786,28.1,174
2020-05-15,11.4,244,37.1,113
2020-05-16,12.5,435,40.7,123
2020-05-17,14,444,43.6,119
2020-05-18,13.4,9,36.4,101
2020-05-19,16,537,32.8,94
2020-05-20,17.6,844,13.3,172
2020-05-21,16.2,737,20.5,143
2020-05-22,17.9,246,26.6,159
2020-05-23,14.9,434,33.8,175
2020-05-24,13.6,116,42.1,116
2020-05-25,15.7,289,32.4,50
2020-05-26,16.5,447,12.6,122
2020-05-27,17.6,411,19.8,49
2020-05-28,14.6,921,24.5,123
2020-05-29,15.8,964,14.8,134
2020-05-30,19.8,652,12.6,131
2020-05-31,16.4,863,32,138
2020-06-01,18.2,954,26.6,75
2020-06-02,21.1,922,10.1,21
2020-06-03,18,780,26.3,177
2020-06-04,14.8,44,31.3,89
2020-06-05,15.4,385,32.8,190
2020-06-06,14.6,603,39.2,164
2020-06-07,15.9,425,33.1,166
2020-06-08,17.8,795,17.3,31
2020-06-09,14.9,857,18,168
2020-06-10,17.6,521,25.9,31
2020-06-11,17.1,1,40.3,154
2020-06-12,15.9,77,41,38
2020-06-13,17.2,25,49.3,150
2020-06-14,17.1,695,47.5,71
2020-06-15,19.2,1007,23,121
2020-06-16,25.8,909,7.6,83
2020-06-17,21.2,950,15.8,198
2020-06-18,18.1,671,25.2,174
2020-06-19,17.5,0,23.8,23
2020-06-20,19.5,280,33.5,196
2020-06-21,21.7,804,16.2,16
2020-06-22,21.1,849,27.4,158
2020-06-23,22,989,13,98
2020-06-24,21,967,13.7,162
2020-06-25,21.1,915,32.8,66
2020-06-26,22.6,930,30.6,64
